age,value,rate
0_to_4,671,830
5_to_9,719,644.2
10_to_14,1132,1263.7
15_to_19,3663,4157.5
20_to_24,4736,5700.5
25_to_29,4301,4477.5
30_to_34,3943,3876.4
35_to_39,3648,3773
40_to_44,3563,3810.5
45_to_49,3889,4527.7
50_to_54,4231,4144.3
55_to_59,3759,3321
60_to_64,2431,2456.7
65_to_69,1291,1379.6
70_to_74,1194,1288.7
75_to_79,1184,1759.7
80_to_84,1268,2532.6
85_to_89,1323,4073
90+,1406,6751.5
