"","age","rate","value"
"1","45_to_49",3117.3,53433
"2","55_to_59",2456.1,48644
"3","90+",5761.5,20225
"4","50_to_54",2982.9,55974
"5","70_to_74",1172.3,16989
"6","40_to_44",2698.7,50857
"7","75_to_79",1523.1,15840
"8","65_to_69",1350.7,19504
"9","80_to_84",2194.7,17655
"10","0_to_4",675.2,10847
"11","85_to_89",3506.3,18546
"12","5_to_9",604.5,11250
"13","25_to_29",3760.7,63750
"14","10_to_14",1205.3,20800
"15","30_to_34",3189.9,59597
"16","15_to_19",3633.2,59395
"17","60_to_64",2075.7,32891
"18","20_to_24",4721.4,70939
"19","35_to_39",2836.9,54112
