"","age","rate","value"
"1","70_to_74",1085,14432
"2","5_to_9",387.7,7015
"3","35_to_39",1579.1,30011
"4","20_to_24",2708.7,43006
"5","50_to_54",1702,31304
"6","80_to_84",2082.4,13233
"7","75_to_79",1453.1,13088
"8","55_to_59",1495.3,28813
"9","40_to_44",1477.8,27326
"10","15_to_19",2067,35542
"11","0_to_4",425.8,7209
"12","90+",4521.3,7516
"13","45_to_49",1702.6,28948
"14","85_to_89",3104.7,10893
"15","10_to_14",665.6,12063
"16","30_to_34",1734.1,33522
"17","25_to_29",1975.8,35420
"18","60_to_64",1455.1,22223
"19","65_to_69",1151.4,15576
