"","age","rate","value"
"1","5_to_9",1835.8,34165
"2","15_to_19",7020.7,114773
"3","25_to_29",9338.9,158308
"4","55_to_59",5792.8,114728
"5","45_to_49",7562.3,129626
"6","75_to_79",3160,32863
"7","65_to_69",3139.3,45329
"8","85_to_89",6755.6,35732
"9","50_to_54",7090.8,133061
"10","70_to_74",2604.1,37738
"11","0_to_4",1874.2,30108
"12","40_to_44",6891,129863
"13","20_to_24",10370.7,155821
"14","35_to_39",7322.3,139666
"15","60_to_64",4930.2,78124
"16","90+",11334.4,39788
"17","30_to_34",8136.9,152021
"18","10_to_14",3411.2,58869
"19","80_to_84",4341.9,34929
