"","age","rate","value"
"1","75_to_79",2469.2,25679
"2","55_to_59",4437,87876
"3","5_to_9",1455,27079
"4","40_to_44",5412.8,102006
"5","25_to_29",7184.8,121792
"6","90+",8756.6,30739
"7","70_to_74",2012.8,29169
"8","80_to_84",3417.2,27490
"9","45_to_49",5929.3,101635
"10","20_to_24",8100.4,121709
"11","15_to_19",5862.2,95834
"12","60_to_64",3749.5,59415
"13","0_to_4",1428.8,22953
"14","85_to_89",5318.1,28129
"15","35_to_39",5708.7,108888
"16","50_to_54",5475.5,102748
"17","10_to_14",2842.3,49050
"18","30_to_34",6272.1,117181
"19","65_to_69",2415.5,34879
