age,rate,value
0_to_4,1423.9,1206
5_to_9,1308.3,1385
10_to_14,2164.4,2039
15_to_19,4326.3,4011
20_to_24,6267.6,5597
25_to_29,4598.3,4890
30_to_34,4355,4640
35_to_39,4386.8,4223
40_to_44,4291.4,3923
45_to_49,5125.4,4288
50_to_54,4675.2,4534
55_to_59,4101.9,4401
60_to_64,3364.2,3159
65_to_69,2416.3,2140
70_to_74,2279.7,1975
75_to_79,2952.8,1757
80_to_84,3838.7,1524
85_to_89,5159.8,1104
90+,7966.2,772
