"","age","rate","value"
"1","40_to_44",460.7,8519
"2","65_to_69",505.3,6836
"3","50_to_54",551.4,10141
"4","0_to_4",89.4,1514
"5","25_to_29",521.6,9350
"6","55_to_59",513.6,9897
"7","5_to_9",89.8,1625
"8","35_to_39",462.5,8791
"9","30_to_34",497.1,9610
"10","10_to_14",100.7,1826
"11","60_to_64",550.3,8405
"12","90+",3576.9,5946
"13","75_to_79",900.2,8108
"14","70_to_74",556.7,7405
"15","20_to_24",473.1,7512
"16","45_to_49",552.8,9398
"17","85_to_89",2327.5,8166
"18","15_to_19",233.7,4019
"19","80_to_84",1469.8,9340
