"","age","rate","value"
"1","85_to_89",2297.3,8060
"2","65_to_69",482,6520
"3","45_to_49",498.6,8477
"4","15_to_19",149.9,2577
"5","60_to_64",516.2,7883
"6","80_to_84",1441.5,9160
"7","5_to_9",66.6,1205
"8","40_to_44",406.7,7521
"9","50_to_54",505,9289
"10","75_to_79",880.9,7934
"11","70_to_74",538,7156
"12","55_to_59",475.3,9158
"13","30_to_34",420.4,8126
"14","35_to_39",398.4,7572
"15","10_to_14",75.1,1362
"16","20_to_24",339.2,5385
"17","0_to_4",69.5,1176
"18","25_to_29",423.6,7594
"19","90+",3523.3,5857
