"","age","rate","value"
"1","20_to_24",3324.1,52777
"2","60_to_64",1849.5,28247
"3","10_to_14",889.6,16123
"4","75_to_79",1708.1,15385
"5","0_to_4",554.3,9386
"6","80_to_84",2369.3,15056
"7","90+",5052.5,8399
"8","35_to_39",2012,38239
"9","85_to_89",3493.5,12257
"10","55_to_59",1907,36746
"11","30_to_34",2206.3,42650
"12","70_to_74",1317.1,17519
"13","40_to_44",1893,35004
"14","25_to_29",2505,44908
"15","15_to_19",2462.1,42334
"16","45_to_49",2167.7,36855
"17","50_to_54",2174.5,39995
"18","5_to_9",517.7,9368
"19","65_to_69",1432.7,19382
