"","age","rate","value"
"1","0_to_4",2398.7,38533
"2","40_to_44",8188.4,154313
"3","35_to_39",8826.9,168364
"4","65_to_69",3744.2,54064
"5","75_to_79",3721.8,38706
"6","85_to_89",7951.2,42056
"7","90+",13405.3,47058
"8","55_to_59",6917.1,136996
"9","25_to_29",11079.8,187819
"10","30_to_34",9808.2,183245
"11","10_to_14",3936.6,67935
"12","70_to_74",3083.1,44680
"13","50_to_54",8419.5,157993
"14","60_to_64",5929.3,93956
"15","80_to_84",5080.2,40868
"16","20_to_24",12114,182015
"17","5_to_9",2257.8,42018
"18","15_to_19",7923.2,129527
"19","45_to_49",8917,152847
