"","age","rate","value"
"1","85_to_89",1943,10277
"2","80_to_84",1085.7,8734
"3","35_to_39",470.5,8975
"4","45_to_49",633.6,10860
"5","55_to_59",544.9,10792
"6","0_to_4",35.9,576
"7","25_to_29",636.1,10782
"8","30_to_34",545.6,10194
"9","10_to_14",47.1,812
"10","15_to_19",136.2,2227
"11","70_to_74",340.2,4930
"12","90+",3311,11623
"13","50_to_54",636,11934
"14","20_to_24",479.5,7204
"15","40_to_44",495.3,9335
"16","75_to_79",608.5,6328
"17","5_to_9",37,688
"18","65_to_69",305.6,4413
"19","60_to_64",469,7432
