"","age","rate","value"
"1","75_to_79",1681.7,15147
"2","40_to_44",1849.5,34200
"3","20_to_24",3259.8,51757
"4","5_to_9",502.5,9093
"5","30_to_34",2157.5,41708
"6","45_to_49",2116.8,35989
"7","90+",4989.4,8294
"8","50_to_54",2123.4,39055
"9","35_to_39",1966.9,37382
"10","65_to_69",1404.6,19001
"11","85_to_89",3448.5,12099
"12","60_to_64",1807,27597
"13","25_to_29",2449.8,43918
"14","80_to_84",2336,14844
"15","10_to_14",858.8,15566
"16","0_to_4",540,9144
"17","15_to_19",2417.8,41573
"18","70_to_74",1291.9,17184
"19","55_to_59",1861.5,35870
