"","age","rate","value"
"1","0_to_4",54.1,916
"2","55_to_59",451.7,8704
"3","50_to_54",475.8,8752
"4","60_to_64",492.7,7524
"5","15_to_19",110.7,1904
"6","35_to_39",356.2,6770
"7","20_to_24",267.8,4252
"8","25_to_29",363.9,6523
"9","40_to_44",371.4,6868
"10","85_to_89",2274.8,7981
"11","70_to_74",525.1,6984
"12","10_to_14",61.6,1116
"13","90+",3486,5795
"14","30_to_34",372.7,7205
"15","45_to_49",464.6,7899
"16","75_to_79",866.1,7801
"17","65_to_69",464.4,6283
"18","80_to_84",1424.3,9051
"19","5_to_9",54.1,979
