"","age","value","rate"
"1","90+",6088,3662.3
"2","85_to_89",8439,2405.3
"3","75_to_79",8555,949.8
"4","55_to_59",11832,614
"5","10_to_14",3309,182.6
"6","65_to_69",7695,568.8
"7","35_to_39",11407,600.2
"8","20_to_24",11562,728.2
"9","50_to_54",12312,669.4
"10","25_to_29",12709,708.9
"11","5_to_9",2513,138.9
"12","40_to_44",10704,578.9
"13","30_to_34",12644,654.1
"14","0_to_4",2266,133.8
"15","45_to_49",11604,682.5
"16","70_to_74",8047,605
"17","15_to_19",6986,406.3
"18","60_to_64",9694,634.7
"19","80_to_84",9656,1519.5
