age,rate,value
0_to_4,2404.7,1944
5_to_9,1800,2009
10_to_14,3308.9,2964
15_to_19,8063,7104
20_to_24,12755,10597
25_to_29,10685.1,10264
30_to_34,9438.9,9601
35_to_39,9088.1,8787
40_to_44,8627.3,8067
45_to_49,10292.9,8841
50_to_54,9393.5,9590
55_to_59,7628,8634
60_to_64,6066.5,6003
65_to_69,3656.8,3422
70_to_74,3244.5,3006
75_to_79,4044.1,2721
80_to_84,5634.3,2821
85_to_89,8527.8,2770
90+,14060,2928
