"","age","rate","value"
"1","55_to_59",747,14394
"2","80_to_84",1597.9,10154
"3","35_to_39",756.5,14377
"4","40_to_44",710.4,13136
"5","70_to_74",671.7,8935
"6","10_to_14",254.2,4608
"7","50_to_54",828,15230
"8","25_to_29",923.4,16554
"9","0_to_4",186,3149
"10","20_to_24",1184.1,18800
"11","90+",3773.6,6273
"12","30_to_34",829.2,16029
"13","75_to_79",1017.2,9162
"14","45_to_49",835.5,14205
"15","60_to_64",753.9,11514
"16","85_to_89",2487.7,8728
"17","65_to_69",650.9,8806
"18","15_to_19",912.5,15690
"19","5_to_9",170.3,3082
