"","age","rate","value"
"1","40_to_44",3492.9,64588
"2","20_to_24",5001.8,79415
"3","55_to_59",3164.3,60974
"4","15_to_19",3918.1,67370
"5","75_to_79",2493.6,22460
"6","65_to_69",2235.6,30243
"7","25_to_29",4299.8,77084
"8","0_to_4",1105.6,18720
"9","70_to_74",1990,26470
"10","80_to_84",3398.2,21594
"11","60_to_64",2977.9,45480
"12","5_to_9",1278.1,23129
"13","30_to_34",3881.3,75031
"14","35_to_39",3625,68895
"15","10_to_14",2273,41198
"16","90+",7273.5,12091
"17","85_to_89",5012.4,17586
"18","45_to_49",3913.3,66533
"19","50_to_54",3717.7,68379
