age,value,rate
0_to_4,278,328.2
5_to_9,249,235.2
10_to_14,400,424.6
15_to_19,1606,1732.2
20_to_24,1859,2081.7
25_to_29,1487,1398.3
30_to_34,1358,1274.6
35_to_39,1234,1281.9
40_to_44,1165,1274.4
45_to_49,1309,1564.6
50_to_54,1380,1423
55_to_59,1428,1330.9
60_to_64,980,1043.7
65_to_69,666,752
70_to_74,683,788.4
75_to_79,742,1247
80_to_84,667,1680.1
85_to_89,533,2491.1
90+,376,3879.9
