"","age","rate","value"
"1","75_to_79",605.3,6295
"2","5_to_9",35.2,656
"3","20_to_24",471,7077
"4","15_to_19",132.9,2172
"5","80_to_84",1081.5,8700
"6","50_to_54",631.1,11843
"7","40_to_44",489.6,9226
"8","30_to_34",539,10071
"9","25_to_29",627.7,10641
"10","85_to_89",1935.8,10239
"11","70_to_74",338.2,4901
"12","0_to_4",33.7,542
"13","10_to_14",45,777
"14","45_to_49",626.7,10743
"15","65_to_69",302.6,4370
"16","60_to_64",465,7368
"17","90+",3299.3,11582
"18","35_to_39",464.5,8859
"19","55_to_59",540.4,10702
