"","age","rate","value"
"1","5_to_9",2436.7,44094
"2","10_to_14",3711.7,67274
"3","40_to_44",7071.3,130756
"4","75_to_79",4228.9,38090
"5","20_to_24",9228.4,146521
"6","15_to_19",6216.4,106889
"7","80_to_84",5433.4,34527
"8","85_to_89",8077.2,28339
"9","0_to_4",2364.1,40029
"10","25_to_29",8616.7,154473
"11","50_to_54",7305.1,134362
"12","30_to_34",7974.9,154164
"13","55_to_59",6276.6,120946
"14","65_to_69",4240.2,57362
"15","35_to_39",7487.9,142312
"16","90+",12062.5,20052
"17","45_to_49",7660.4,130241
"18","70_to_74",3554.1,47275
"19","60_to_64",5923.6,90467
