"","age","rate","value"
"1","45_to_49",995.6,16927
"2","0_to_4",234.4,3969
"3","50_to_54",990.9,18225
"4","90+",3899.9,6483
"5","20_to_24",1616.5,25666
"6","25_to_29",1140.7,20450
"7","65_to_69",745.6,10087
"8","85_to_89",2585.4,9071
"9","10_to_14",333,6035
"10","35_to_39",910.5,17305
"11","55_to_59",882.6,17008
"12","30_to_34",1004.6,19421
"13","75_to_79",1093.1,9846
"14","5_to_9",210.2,3803
"15","70_to_74",744.6,9904
"16","60_to_64",885,13516
"17","40_to_44",853.7,15785
"18","15_to_19",1313.2,22580
"19","80_to_84",1679.9,10675
