age,rate,value
0_to_4,2138.2,1811
5_to_9,1867.5,1977
10_to_14,2959.4,2788
15_to_19,5766.2,5346
20_to_24,9030.2,8064
25_to_29,7141,7594
30_to_34,6695.9,7134
35_to_39,6549.5,6305
40_to_44,6384.1,5836
45_to_49,7538.7,6307
50_to_54,7109.7,6895
55_to_59,6177.5,6628
60_to_64,5229,4910
65_to_69,3678.7,3258
70_to_74,3363.5,2914
75_to_79,4139.4,2463
80_to_84,5493.6,2181
85_to_89,7225.6,1546
90+,11154.7,1081
