"","age","rate","value"
"1","65_to_69",3808.7,54995
"2","20_to_24",12415.5,186545
"3","60_to_64",6051.8,95896
"4","90+",13535.5,47515
"5","85_to_89",8044.2,42548
"6","75_to_79",3772.6,39234
"7","45_to_49",9160.7,157023
"8","15_to_19",8238.9,134689
"9","10_to_14",4255.6,73440
"10","5_to_9",2430,45224
"11","70_to_74",3131.5,45381
"12","80_to_84",5141.5,41361
"13","50_to_54",8626.2,161873
"14","30_to_34",10129.4,189247
"15","25_to_29",11387.8,193040
"16","35_to_39",9133,174203
"17","40_to_44",8450.1,159244
"18","0_to_4",2506.6,40266
"19","55_to_59",7073,140084
