age_format,pc
0-4,5.178402273444901
5-9,5.778339122197663
10-14,5.841490369434797
15-19,5.4310072623934325
20-24,6.409851594568992
25-29,6.504578465424691
30-34,6.188822229239027
35-39,5.873065993053363
40-44,5.462582886011999
45-49,6.094095358383328
50-54,6.851910325228923
55-59,7.009788443321756
60-64,6.220397852857594
65-69,5.683612251341964
70-74,5.746763498579097
75-79,4.136406694032207
80-84,2.8733817492895484
85-89,1.7366592990211556
90+,0.9788443321755604
