"","age","rate","value"
"1","60_to_64",226.3,3456
"2","70_to_74",286.5,3811
"3","20_to_24",39.8,632
"4","45_to_49",169.3,2879
"5","65_to_69",237.6,3214
"6","50_to_54",188,3458
"7","40_to_44",123,2275
"8","55_to_59",192.2,3703
"9","30_to_34",91.9,1777
"10","80_to_84",731.3,4647
"11","35_to_39",97.7,1856
"12","75_to_79",479.1,4315
"13","15_to_19",12.5,215
"14","25_to_29",83.8,1503
"15","10_to_14",6.6,120
"16","85_to_89",1089.4,3822
"17","90+",1470.8,2445
"18","0_to_4",16.2,274
"19","5_to_9",5.2,94
