age,value,rate
0_to_4,465,575.2
5_to_9,432,387
10_to_14,698,779.2
15_to_19,3027,3435.6
20_to_24,3751,4514.9
25_to_29,3267,3401
30_to_34,2971,2920.8
35_to_39,2801,2897
40_to_44,2720,2908.9
45_to_49,3048,3548.6
50_to_54,3404,3334.2
55_to_59,3005,2654.9
60_to_64,1882,1901.9
65_to_69,999,1067.6
70_to_74,908,980
75_to_79,923,1371.8
80_to_84,1025,2047.2
85_to_89,1083,3334.2
90+,1164,5589.4
