"","age","rate","value"
"1","55_to_59",470.7,9070
"2","15_to_19",139.5,2398
"3","80_to_84",1439,9144
"4","50_to_54",499.2,9182
"5","0_to_4",66.3,1122
"6","35_to_39",389.4,7401
"7","25_to_29",409.5,7341
"8","65_to_69",479,6480
"9","45_to_49",491.6,8359
"10","70_to_74",535.6,7124
"11","85_to_89",2292.4,8043
"12","30_to_34",409.3,7912
"13","40_to_44",399.7,7390
"14","90+",3519.7,5851
"15","5_to_9",64.5,1168
"16","10_to_14",72.4,1312
"17","75_to_79",878.9,7916
"18","60_to_64",512.4,7826
"19","20_to_24",320.6,5090
