"","age","rate","value"
"1","20_to_24",11967,179806
"2","50_to_54",8312.9,155994
"3","35_to_39",8694,165829
"4","25_to_29",10932.5,185322
"5","45_to_49",8806,150944
"6","80_to_84",5032.3,40483
"7","65_to_69",3701.4,53446
"8","5_to_9",2216.8,41256
"9","70_to_74",3054.3,44262
"10","30_to_34",9660.7,180490
"11","40_to_44",8076.1,152196
"12","55_to_59",6830.1,135272
"13","10_to_14",3879.6,66952
"14","75_to_79",3688.6,38361
"15","0_to_4",2352.7,37794
"16","15_to_19",7827.1,127956
"17","60_to_64",5850.8,92712
"18","90+",13287.1,46643
"19","85_to_89",7874.8,41652
