"","age","rate","value"
"1","75_to_79",1555.6,14011
"2","25_to_29",2193.9,39330
"3","15_to_19",2224,38240
"4","35_to_39",1755.2,33358
"5","0_to_4",476.9,8075
"6","20_to_24",2959.9,46995
"7","55_to_59",1662.8,32041
"8","10_to_14",751.1,13613
"9","5_to_9",437.6,7919
"10","80_to_84",2202.4,13995
"11","30_to_34",1928.1,37273
"12","60_to_64",1619.6,24735
"13","45_to_49",1893.2,32188
"14","90+",4732.5,7867
"15","70_to_74",1178.1,15670
"16","40_to_44",1646,30437
"17","85_to_89",3258.4,11432
"18","50_to_54",1894.3,34842
"19","65_to_69",1267.2,17143
