"","age","rate","value"
"1","65_to_69",4329,58563
"2","90+",12243,20352
"3","80_to_84",5519.8,35076
"4","70_to_74",3617.3,48115
"5","25_to_29",8910.9,159747
"6","0_to_4",2493.2,42215
"7","35_to_39",7797.9,148204
"8","20_to_24",9514.1,151057
"9","30_to_34",8278.5,160034
"10","75_to_79",4295.5,38690
"11","45_to_49",7917.1,134606
"12","10_to_14",4045.4,73322
"13","40_to_44",7348.7,135886
"14","15_to_19",6518.6,112085
"15","5_to_9",2639.2,47760
"16","85_to_89",8206.1,28791
"17","60_to_64",6072.7,92744
"18","55_to_59",6454.2,124367
"19","50_to_54",7535.1,138592
