age,rate,value
0_to_4,2172.4,1840
5_to_9,1883.5,1994
10_to_14,2993.4,2820
15_to_19,5813.6,5390
20_to_24,9122.1,8146
25_to_29,7244.5,7704
30_to_34,6786.9,7231
35_to_39,6634.7,6387
40_to_44,6478.1,5922
45_to_49,7642.7,6394
50_to_54,7203.5,6986
55_to_59,6273.5,6731
60_to_64,5303.5,4980
65_to_69,3716,3291
70_to_74,3400.4,2946
75_to_79,4188.1,2492
80_to_84,5576.7,2214
85_to_89,7361.2,1575
90+,11319.8,1097
