"","age","rate","value"
"1","20_to_24",3739.5,56186
"2","0_to_4",482.6,7752
"3","60_to_64",1583.2,25087
"4","65_to_69",1022.1,14758
"5","40_to_44",2015,37974
"6","5_to_9",398.2,7411
"7","50_to_54",2261.4,42436
"8","45_to_49",2346.2,40216
"9","10_to_14",768.2,13257
"10","15_to_19",2929.4,47889
"11","85_to_89",2956,15635
"12","90+",4871,17099
"13","35_to_39",2107.5,40199
"14","80_to_84",1815.3,14603
"15","25_to_29",2866.9,48598
"16","70_to_74",899.3,13033
"17","30_to_34",2403.3,44901
"18","55_to_59",1868.7,37010
"19","75_to_79",1214.4,12629
