"","age","rate","value"
"1","75_to_79",1444,15017
"2","0_to_4",622.6,10002
"3","25_to_29",3548.3,60149
"4","60_to_64",1954.9,30978
"5","5_to_9",538.1,10015
"6","15_to_19",3442.9,56284
"7","40_to_44",2515.5,47406
"8","10_to_14",1056.4,18231
"9","85_to_89",3339.8,17665
"10","20_to_24",4499.8,67610
"11","80_to_84",2089.4,16808
"12","45_to_49",2913.1,49933
"13","30_to_34",2989.5,55853
"14","70_to_74",1104.6,16007
"15","90+",5478.9,19233
"16","50_to_54",2804.2,52622
"17","35_to_39",2646.2,50473
"18","55_to_59",2313.4,45818
"19","65_to_69",1273.3,18386
