"","age","rate","value"
"1","85_to_89",8035.6,28193
"2","25_to_29",8548.5,153250
"3","80_to_84",5408.1,34366
"4","40_to_44",7012.4,129667
"5","0_to_4",2338.4,39594
"6","65_to_69",4212.3,56984
"7","20_to_24",9164.7,145509
"8","55_to_59",6229.7,120042
"9","15_to_19",6182,106297
"10","5_to_9",2415.9,43719
"11","30_to_34",7905.5,152823
"12","45_to_49",7601.8,129246
"13","90+",11993.3,19937
"14","60_to_64",5878.1,89773
"15","35_to_39",7423.8,141094
"16","70_to_74",3534.6,47016
"17","50_to_54",7247.7,133307
"18","10_to_14",3686.3,66813
"19","75_to_79",4206.5,37888
