"","age","rate","value"
"1","20_to_24",4620.5,73361
"2","35_to_39",3239,61558
"3","5_to_9",1136.2,20560
"4","25_to_29",3853.2,69077
"5","75_to_79",2355.5,21216
"6","40_to_44",3127.8,57836
"7","15_to_19",3670.5,63112
"8","70_to_74",1855.6,24682
"9","55_to_59",2881.8,55531
"10","30_to_34",3478,67234
"11","50_to_54",3376.7,62108
"12","90+",6942,11540
"13","10_to_14",2054.9,37245
"14","45_to_49",3517.2,59799
"15","85_to_89",4793.5,16818
"16","60_to_64",2737.9,41814
"17","65_to_69",2063.9,27920
"18","0_to_4",985.3,16683
"19","80_to_84",3228.9,20518
