"","age","rate","value"
"1","35_to_39",315.2,6012
"2","30_to_34",364,6801
"3","25_to_29",417.7,7081
"4","20_to_24",272.9,4101
"5","10_to_14",15.4,265
"6","50_to_54",454,8520
"7","40_to_44",339.6,6399
"8","80_to_84",795.4,6399
"9","90+",2251.6,7904
"10","65_to_69",221.8,3203
"11","70_to_74",254.7,3691
"12","0_to_4",18.1,291
"13","45_to_49",449.2,7699
"14","85_to_89",1377.7,7287
"15","5_to_9",10.2,189
"16","60_to_64",337.6,5350
"17","75_to_79",454.2,4724
"18","15_to_19",61.6,1007
"19","55_to_59",387.7,7679
