"","age","rate","value"
"1","75_to_79",3765.4,39159
"2","35_to_39",9075.5,173107
"3","60_to_64",6032.2,95586
"4","55_to_59",7048.1,139589
"5","10_to_14",4186.9,72254
"6","50_to_54",8587.6,161148
"7","0_to_4",2492.2,40035
"8","80_to_84",5132.3,41287
"9","30_to_34",10070.7,188150
"10","45_to_49",9116.4,156265
"11","15_to_19",8174.8,133641
"12","90+",13520.7,47463
"13","70_to_74",3123.8,45269
"14","40_to_44",8398,158262
"15","85_to_89",8031.7,42482
"16","65_to_69",3796.1,54813
"17","20_to_24",12364.7,185781
"18","25_to_29",11337.2,192182
"19","5_to_9",2402.6,44713
