"","age","rate","value"
"1","55_to_59",6178.7,122372
"2","65_to_69",3346.1,48315
"3","50_to_54",7553,141733
"4","30_to_34",8686.4,162287
"5","0_to_4",2044.4,32841
"6","40_to_44",7330.8,138151
"7","5_to_9",1964.3,36557
"8","85_to_89",7205.5,38112
"9","10_to_14",3575.9,61711
"10","60_to_64",5268.6,83486
"11","45_to_49",8022.6,137516
"12","25_to_29",9929.8,168324
"13","20_to_24",10976.7,164926
"14","75_to_79",3363.6,34981
"15","80_to_84",4626.1,37215
"16","70_to_74",2779.3,40277
"17","35_to_39",7818.1,149122
"18","15_to_19",7307.5,119463
"19","90+",12115.5,42530
