"","age","rate","value"
"1","90+",6395.8,10632
"2","55_to_59",2548.6,49110
"3","45_to_49",3023.2,51400
"4","75_to_79",2166.4,19513
"5","85_to_89",4394.8,15419
"6","65_to_69",1865.5,25236
"7","70_to_74",1687.9,22451
"8","35_to_39",2770.9,52662
"9","30_to_34",2988.2,57766
"10","0_to_4",827.8,14016
"11","40_to_44",2666.6,49308
"12","15_to_19",3255.1,55970
"13","60_to_64",2446.1,37358
"14","50_to_54",2958,54406
"15","5_to_9",920.9,16664
"16","20_to_24",4134.7,65647
"17","25_to_29",3323.3,59578
"18","80_to_84",2981.5,18946
"19","10_to_14",1653.4,29967
