"","age","rate","value"
"1","80_to_84",1308.7,8316
"2","15_to_19",58.4,1005
"3","90+",3241.2,5388
"4","50_to_54",405.8,7464
"5","75_to_79",800.7,7212
"6","20_to_24",170.6,2708
"7","85_to_89",2105.2,7386
"8","40_to_44",290.2,5366
"9","0_to_4",27.6,467
"10","60_to_64",432.2,6600
"11","5_to_9",28.3,512
"12","55_to_59",387.9,7475
"13","45_to_49",384.4,6535
"14","70_to_74",478,6358
"15","25_to_29",266.6,4779
"16","35_to_39",264.4,5025
"17","65_to_69",407.4,5511
"18","30_to_34",273.8,5292
"19","10_to_14",30.8,558
