"","age","rate","value"
"1","90+",6376.2,22383
"2","10_to_14",1505.1,25974
"3","50_to_54",3307.6,62068
"4","80_to_84",2415.7,19433
"5","0_to_4",784.1,12596
"6","40_to_44",3070.2,57858
"7","30_to_34",3575.4,66798
"8","85_to_89",3862.3,20429
"9","20_to_24",5124.1,76990
"10","5_to_9",748.4,13928
"11","55_to_59",2714.3,53757
"12","45_to_49",3505.5,60088
"13","25_to_29",4161.4,70541
"14","70_to_74",1291.1,18710
"15","15_to_19",3980.6,65074
"16","60_to_64",2302.4,36484
"17","75_to_79",1677.2,17442
"18","35_to_39",3214.1,61305
"19","65_to_69",1487.4,21477
