"","age","rate","value"
"1","5_to_9",2432,44009
"2","45_to_49",7647.8,130028
"3","65_to_69",4235.1,57292
"4","35_to_39",7473.2,142032
"5","90+",12040.9,20016
"6","80_to_84",5426,34480
"7","10_to_14",3704.8,67149
"8","60_to_64",5913.7,90316
"9","25_to_29",8602.8,154224
"10","75_to_79",4222.9,38036
"11","40_to_44",7057.7,130504
"12","20_to_24",9214.8,146305
"13","30_to_34",7961,153896
"14","85_to_89",8065,28296
"15","70_to_74",3550.1,47221
"16","0_to_4",2358.1,39928
"17","15_to_19",6208.8,106758
"18","50_to_54",7292.3,134126
"19","55_to_59",6266.2,120745
