"","age","rate","value"
"1","20_to_24",9736.3,146290
"2","55_to_59",5384.3,106638
"3","25_to_29",8715,147731
"4","90+",10526.8,36953
"5","35_to_39",6820.3,130090
"6","5_to_9",1705.6,31741
"7","15_to_19",6709.4,109684
"8","30_to_34",7562.2,141283
"9","50_to_54",6591.7,123694
"10","60_to_64",4567.2,72371
"11","80_to_84",4055.3,32623
"12","75_to_79",2957.3,30755
"13","10_to_14",3240,55914
"14","0_to_4",1714.9,27548
"15","40_to_44",6433,121231
"16","45_to_49",7068.3,121157
"17","65_to_69",2924.8,42233
"18","85_to_89",6306.9,33359
"19","70_to_74",2431.9,35243
