"","age","rate","value"
"1","60_to_64",489.4,7474
"2","70_to_74",523.2,6959
"3","5_to_9",52.6,952
"4","35_to_39",349,6633
"5","45_to_49",459.7,7816
"6","25_to_29",358.3,6423
"7","55_to_59",448.5,8643
"8","90+",3481.2,5787
"9","20_to_24",259.6,4121
"10","65_to_69",461.2,6239
"11","85_to_89",2270.2,7965
"12","50_to_54",471.3,8669
"13","75_to_79",864.7,7788
"14","30_to_34",366.2,7080
"15","40_to_44",366.6,6778
"16","0_to_4",51.9,878
"17","10_to_14",59.7,1082
"18","15_to_19",106,1823
"19","80_to_84",1420.9,9029
