"","age","rate","value"
"1","40_to_44",8391.1,158132
"2","85_to_89",8029.3,42469
"3","70_to_74",3122.8,45255
"4","20_to_24",12357.5,185674
"5","75_to_79",3764,39145
"6","90+",13518.4,47455
"7","15_to_19",8167.5,133521
"8","55_to_59",7044.2,139513
"9","25_to_29",11328.6,192036
"10","50_to_54",8582.7,161056
"11","65_to_69",3794.4,54789
"12","45_to_49",9110.3,156160
"13","10_to_14",4178.7,72113
"14","0_to_4",2489.8,39997
"15","5_to_9",2397,44609
"16","60_to_64",6029.4,95542
"17","30_to_34",10062.5,187997
"18","80_to_84",5131.8,41283
"19","35_to_39",9065.9,172923
