age,rate,value
0_to_4,2550.6,2062
5_to_9,1935.2,2160
10_to_14,3455.2,3095
15_to_19,8229.9,7251
20_to_24,12995.8,10797
25_to_29,10910,10480
30_to_34,9645.4,9811
35_to_39,9274.3,8967
40_to_44,8798.5,8227
45_to_49,10473.4,8996
50_to_54,9558,9758
55_to_59,7751.7,8774
60_to_64,6169.6,6105
65_to_69,3737,3497
70_to_74,3294.1,3052
75_to_79,4108,2764
80_to_84,5720.2,2864
85_to_89,8657.1,2812
90+,14237.7,2965
