n,area_number,actual_data,synthetic_cntrl,difference,area_name,date
42,1,.59313506,.62692636,-.033791307,Barking and Dagenham,08may2020
54,1,.49945748,.72028863,-.22083113,Barking and Dagenham,20may2020
36,1,.63059604,.67030764,-.039711565,Barking and Dagenham,02may2020
62,1,.72067308,.78375173,-.063078634,Barking and Dagenham,28may2020
6,1,.87983525,.9691962,-.08936096,Barking and Dagenham,02apr2020
3,1,1.0789369,1.143865,-.064928018,Barking and Dagenham,30mar2020
15,1,.62291068,.80236894,-.17945825,Barking and Dagenham,11apr2020
60,1,.73673373,.78176773,-.045033973,Barking and Dagenham,26may2020
59,1,.72342879,.76422024,-.040791463,Barking and Dagenham,25may2020
72,1,.96674961,.63689238,.32985723,Barking and Dagenham,07jun2020
86,1,.25778821,.25430846,.0034797392,Barking and Dagenham,21jun2020
64,1,.72295636,.74047375,-.017517406,Barking and Dagenham,30may2020
69,1,.95875728,.63304794,.32570937,Barking and Dagenham,04jun2020
10,1,.75566447,.91534293,-.15967847,Barking and Dagenham,06apr2020
2,1,1.1827486,1.246464,-.06371545,Barking and Dagenham,29mar2020
75,1,.88743556,.6600641,.22737145,Barking and Dagenham,10jun2020
58,1,.69352967,.74220264,-.048672978,Barking and Dagenham,24may2020
22,1,.50251132,.75591207,-.25340074,Barking and Dagenham,18apr2020
24,1,.56843913,.77031904,-.20187995,Barking and Dagenham,20apr2020
17,1,.56263274,.7571435,-.19451077,Barking and Dagenham,13apr2020
48,1,.48365507,.69955647,-.21590139,Barking and Dagenham,14may2020
90,1,.018633898,.01609988,.0025340186,Barking and Dagenham,25jun2020
77,1,.87452686,.69688708,.1776398,Barking and Dagenham,12jun2020
9,1,.78174043,.9243573,-.14261684,Barking and Dagenham,05apr2020
55,1,.54845929,.71162492,-.16316564,Barking and Dagenham,21may2020
70,1,.98087633,.63243872,.34843758,Barking and Dagenham,05jun2020
14,1,.65385646,.83106691,-.17721044,Barking and Dagenham,10apr2020
11,1,.73157638,.90247357,-.17089719,Barking and Dagenham,07apr2020
8,1,.81006259,.93302727,-.12296468,Barking and Dagenham,04apr2020
40,1,.58011317,.64535141,-.065238215,Barking and Dagenham,06may2020
50,1,.44673276,.7362659,-.28953314,Barking and Dagenham,16may2020
37,1,.60202813,.66355348,-.061525326,Barking and Dagenham,03may2020
23,1,.52677685,.76368314,-.23690629,Barking and Dagenham,19apr2020
71,1,.98233861,.63385057,.34848803,Barking and Dagenham,06jun2020
46,1,.53775573,.6518895,-.1141338,Barking and Dagenham,12may2020
52,1,.44397637,.74060249,-.29662612,Barking and Dagenham,18may2020
85,1,.36175478,.35477138,.0069834013,Barking and Dagenham,20jun2020
84,1,.47519109,.46143433,.013756753,Barking and Dagenham,19jun2020
20,1,.49918047,.7426163,-.2434358,Barking and Dagenham,16apr2020
16,1,.59190392,.77670181,-.18479791,Barking and Dagenham,12apr2020
7,1,.84176898,.94620907,-.10444008,Barking and Dagenham,03apr2020
51,1,.44005093,.74228549,-.30223459,Barking and Dagenham,17may2020
79,1,.85581595,.73617363,.11964231,Barking and Dagenham,14jun2020
78,1,.87062365,.71961898,.15100469,Barking and Dagenham,13jun2020
68,1,.9152056,.63831109,.27689448,Barking and Dagenham,03jun2020
33,1,.76488537,.69887215,.066013247,Barking and Dagenham,29apr2020
5,1,.92891067,1.0068518,-.077941105,Barking and Dagenham,01apr2020
57,1,.65115732,.72298348,-.07182616,Barking and Dagenham,23may2020
35,1,.66874993,.6780076,-.0092576928,Barking and Dagenham,01may2020
66,1,.79928881,.67745382,.12183502,Barking and Dagenham,01jun2020
39,1,.57794785,.65268624,-.074738383,Barking and Dagenham,05may2020
32,1,.80938029,.71368408,.095696211,Barking and Dagenham,28apr2020
65,1,.75166404,.70885152,.042812552,Barking and Dagenham,31may2020
34,1,.71506524,.68707424,.027990988,Barking and Dagenham,30apr2020
21,1,.49440208,.74826419,-.25386214,Barking and Dagenham,17apr2020
83,1,.58826309,.56513,.023133103,Barking and Dagenham,18jun2020
89,1,.049210947,.044235192,.0049757562,Barking and Dagenham,24jun2020
44,1,.58043271,.62546384,-.045031112,Barking and Dagenham,10may2020
41,1,.58751988,.63571304,-.048193164,Barking and Dagenham,07may2020
61,1,.73292291,.78901386,-.056090966,Barking and Dagenham,27may2020
88,1,.09962821,.09470237,.0049258429,Barking and Dagenham,23jun2020
38,1,.58463192,.65804064,-.07340873,Barking and Dagenham,04may2020
74,1,.91027391,.6494289,.26084501,Barking and Dagenham,09jun2020
