"","age","rate","value"
"1","15_to_19",3320,54275
"2","80_to_84",2024.5,16286
"3","55_to_59",2209.7,43764
"4","0_to_4",587.6,9440
"5","10_to_14",971.8,16771
"6","90+",5334.2,18725
"7","70_to_74",1057.2,15321
"8","20_to_24",4343.7,65265
"9","45_to_49",2773,47532
"10","65_to_69",1218.1,17588
"11","40_to_44",2393.1,45098
"12","25_to_29",3397.5,57593
"13","30_to_34",2855.3,53346
"14","5_to_9",501.2,9327
"15","50_to_54",2674,50178
"16","85_to_89",3250.2,17191
"17","35_to_39",2515.6,47983
"18","75_to_79",1390.2,14458
"19","60_to_64",1869.8,29629
