"","age","value","rate"
"1","20_to_24",2355,148.3
"2","70_to_74",6031,453.4
"3","25_to_29",4301,239.9
"4","40_to_44",5007,270.8
"5","55_to_59",7030,364.8
"6","75_to_79",6828,758.1
"7","30_to_34",4806,248.6
"8","35_to_39",4580,241
"9","60_to_64",6222,407.4
"10","85_to_89",7001,1995.4
"11","50_to_54",6991,380.1
"12","0_to_4",428,25.3
"13","80_to_84",7874,1239.1
"14","45_to_49",6126,360.3
"15","5_to_9",409,22.6
"16","90+",5037,3030.1
"17","15_to_19",847,49.3
"18","10_to_14",451,24.9
"19","65_to_69",5227,386.4
