age,value,rate
0_to_4,390,482.4
5_to_9,376,336.9
10_to_14,603,673.2
15_to_19,2793,3170
20_to_24,3397,4088.8
25_to_29,2875,2993
30_to_34,2605,2561
35_to_39,2511,2597
40_to_44,2432,2600.9
45_to_49,2733,3181.8
50_to_54,3025,2963
55_to_59,2685,2372.2
60_to_64,1685,1702.8
65_to_69,891,952.1
70_to_74,816,880.7
75_to_79,808,1200.9
80_to_84,896,1789.6
85_to_89,954,2937
90+,1040,4994
