"","age","rate","value"
"1","50_to_54",453.4,8340
"2","20_to_24",226.1,3590
"3","10_to_14",50.4,914
"4","30_to_34",338.5,6543
"5","35_to_39",322.7,6133
"6","5_to_9",43.1,780
"7","75_to_79",853.8,7690
"8","85_to_89",2247.1,7884
"9","55_to_59",433.1,8346
"10","65_to_69",447.5,6054
"11","70_to_74",512.6,6819
"12","60_to_64",474.6,7248
"13","25_to_29",328.2,5884
"14","90+",3445.1,5727
"15","0_to_4",42.2,715
"16","15_to_19",88,1513
"17","80_to_84",1402.5,8912
"18","45_to_49",438.8,7460
"19","40_to_44",342,6324
