"","age","rate","value"
"1","25_to_29",308.3,5527
"2","5_to_9",37.5,679
"3","45_to_49",421.4,7165
"4","85_to_89",2214.3,7769
"5","30_to_34",316.1,6110
"6","55_to_59",420.6,8105
"7","90+",3400,5652
"8","65_to_69",435.2,5888
"9","50_to_54",439.2,8079
"10","75_to_79",841.8,7582
"11","20_to_24",207,3287
"12","35_to_39",303,5758
"13","80_to_84",1385,8801
"14","0_to_4",36.3,614
"15","10_to_14",44.1,800
"16","70_to_74",504.2,6706
"17","60_to_64",462.7,7066
"18","15_to_19",76.9,1322
"19","40_to_44",325,6010
