"","age","rate","value"
"1","50_to_54",7261.7,133564
"2","10_to_14",3691,66899
"3","30_to_34",7921.9,153140
"4","85_to_89",8048.7,28239
"5","75_to_79",4212.3,37941
"6","65_to_69",4220.9,57101
"7","20_to_24",9181,145769
"8","90+",12010.8,19966
"9","5_to_9",2421.8,43826
"10","70_to_74",3539.5,47080
"11","40_to_44",7028.1,129957
"12","60_to_64",5888.5,89932
"13","15_to_19",6191.8,106466
"14","55_to_59",6241.7,120273
"15","35_to_39",7439.6,141393
"16","0_to_4",2344.7,39700
"17","25_to_29",8565.5,153555
"18","80_to_84",5414.5,34407
"19","45_to_49",7616.5,129496
