"","age","rate","value"
"1","80_to_84",1137.7,9152
"2","15_to_19",221.4,3619
"3","60_to_64",523.7,8298
"4","5_to_9",62.7,1167
"5","10_to_14",78.5,1355
"6","35_to_39",558.4,10650
"7","45_to_49",721.3,12363
"8","30_to_34",656.5,12265
"9","90+",3458.6,12141
"10","0_to_4",67.1,1078
"11","65_to_69",342.7,4949
"12","55_to_59",601.6,11914
"13","40_to_44",578.4,10901
"14","25_to_29",779.8,13218
"15","50_to_54",710,13323
"16","75_to_79",640.2,6658
"17","85_to_89",2032.8,10752
"18","70_to_74",367.9,5331
"19","20_to_24",645.8,9703
