"","age","rate","value"
"1","10_to_14",34.2,590
"2","35_to_39",426.3,8132
"3","90+",3168.9,11124
"4","5_to_9",26.5,494
"5","60_to_64",438.7,6951
"6","20_to_24",421.8,6337
"7","70_to_74",320.1,4639
"8","0_to_4",24.8,398
"9","50_to_54",595.2,11169
"10","25_to_29",575.5,9756
"11","85_to_89",1851.1,9791
"12","75_to_79",576.2,5992
"13","80_to_84",1034.6,8323
"14","30_to_34",495.7,9262
"15","65_to_69",284.2,4103
"16","40_to_44",453.2,8540
"17","15_to_19",110.4,1804
"18","55_to_59",510.3,10107
"19","45_to_49",586.1,10047
