"","age","rate","value"
"1","45_to_49",8900.7,152567
"2","20_to_24",12090.5,181661
"3","10_to_14",3925,67736
"4","25_to_29",11055.3,187403
"5","35_to_39",8805.3,167952
"6","75_to_79",3716.9,38655
"7","80_to_84",5072.5,40806
"8","70_to_74",3079.1,44622
"9","15_to_19",7903.7,129209
"10","5_to_9",2250.2,41877
"11","65_to_69",3737.3,53965
"12","90+",13391.7,47010
"13","40_to_44",8171.5,153994
"14","55_to_59",6902.8,136713
"15","85_to_89",7941,42002
"16","0_to_4",2390.1,38395
"17","50_to_54",8403,157684
"18","30_to_34",9784.1,182795
"19","60_to_64",5919.4,93799
