"","age","rate","value"
"1","5_to_9",2296,42730
"2","80_to_84",5105.9,41075
"3","25_to_29",11185.2,189605
"4","15_to_19",8011.2,130967
"5","75_to_79",3740.8,38903
"6","30_to_34",9912.2,185188
"7","20_to_24",12219.5,183600
"8","70_to_74",3101,44939
"9","35_to_39",8919.1,170123
"10","65_to_69",3768.4,54413
"11","40_to_44",8270.1,155852
"12","10_to_14",4000.4,69037
"13","90+",13464.9,47267
"14","45_to_49",8997.1,154219
"15","0_to_4",2437.8,39162
"16","85_to_89",7990.7,42265
"17","55_to_59",6974.6,138134
"18","50_to_54",8491.3,159341
"19","60_to_64",5974.7,94675
