"","age","rate","value"
"1","65_to_69",4168.4,56390
"2","20_to_24",9070.2,144009
"3","55_to_59",6158.5,118669
"4","5_to_9",2385.9,43175
"5","35_to_39",7326.2,139239
"6","10_to_14",3651.1,66175
"7","60_to_64",5812.9,88777
"8","90+",11896.5,19776
"9","75_to_79",4176,37614
"10","25_to_29",8451.7,151516
"11","85_to_89",7975.5,27982
"12","0_to_4",2302.3,38983
"13","80_to_84",5371.3,34132
"14","15_to_19",6129.1,105387
"15","45_to_49",7510.3,127689
"16","50_to_54",7163.7,131762
"17","30_to_34",7805.5,150890
"18","40_to_44",6919.2,127943
"19","70_to_74",3505.2,46625
