"","age","rate","value"
"1","60_to_64",717,11361
"2","45_to_49",1037.6,17785
"3","20_to_24",1418.4,21312
"4","10_to_14",226.3,3906
"5","85_to_89",2192.5,11597
"6","25_to_29",1245.4,21111
"7","90+",3735.8,13114
"8","50_to_54",1020.1,19143
"9","80_to_84",1250.7,10061
"10","30_to_34",1021,19076
"11","55_to_59",837.7,16590
"12","5_to_9",142.1,2644
"13","0_to_4",164.6,2644
"14","70_to_74",455.6,6602
"15","75_to_79",734,7633
"16","40_to_44",866.8,16335
"17","35_to_39",879.8,16782
"18","65_to_69",463.6,6694
"19","15_to_19",996.6,16293
