"","age","rate","value"
"1","80_to_84",1189,9565
"2","15_to_19",379.6,6205
"3","45_to_49",849.2,14557
"4","60_to_64",600,9507
"5","25_to_29",980.8,16626
"6","65_to_69",386.7,5583
"7","40_to_44",696.8,13132
"8","90+",3602.4,12646
"9","10_to_14",136.8,2361
"10","0_to_4",104.2,1674
"11","20_to_24",913.3,13723
"12","5_to_9",105.5,1963
"13","55_to_59",694.1,13747
"14","85_to_89",2106.9,11144
"15","70_to_74",400.3,5801
"16","50_to_54",833.1,15633
"17","35_to_39",694.6,13248
"18","75_to_79",678.3,7054
"19","30_to_34",807.6,15088
