"","age","rate","value"
"1","20_to_24",8766,139180
"2","5_to_9",2291.3,41464
"3","70_to_74",3394,45145
"4","60_to_64",5584.1,85283
"5","65_to_69",4022.6,54418
"6","15_to_19",5972.8,102700
"7","55_to_59",5919.6,114067
"8","45_to_49",7230,122925
"9","35_to_39",7011.6,133259
"10","75_to_79",4049.8,36477
"11","25_to_29",8141.3,145950
"12","85_to_89",7748,27184
"13","90+",11524.1,19157
"14","50_to_54",6896.8,126852
"15","30_to_34",7477.9,144557
"16","10_to_14",3547.8,64302
"17","40_to_44",6640.3,122786
"18","80_to_84",5224.6,33200
"19","0_to_4",2187.5,37039
