"","age","rate","value"
"1","0_to_4",38.3,616
"2","60_to_64",474.3,7516
"3","25_to_29",647.6,10977
"4","85_to_89",1954.1,10336
"5","65_to_69",309.3,4466
"6","10_to_14",50.9,879
"7","50_to_54",643.4,12074
"8","40_to_44",504,9498
"9","55_to_59",550.5,10902
"10","45_to_49",642.5,11013
"11","35_to_39",478.3,9124
"12","5_to_9",39.4,734
"13","90+",3329.5,11688
"14","70_to_74",343.6,4979
"15","75_to_79",612.2,6367
"16","15_to_19",140.8,2302
"17","20_to_24",489.6,7357
"18","80_to_84",1094.2,8802
"19","30_to_34",555.4,10377
