"","age","rate","value"
"1","40_to_44",532.7,10038
"2","35_to_39",508,9689
"3","70_to_74",353,5116
"4","90+",3378,11858
"5","45_to_49",671.8,11516
"6","55_to_59",570.3,11295
"7","25_to_29",690.1,11699
"8","85_to_89",1984,10494
"9","60_to_64",491.4,7787
"10","15_to_19",168.2,2749
"11","30_to_34",590.5,11032
"12","20_to_24",537.8,8080
"13","80_to_84",1112.7,8951
"14","65_to_69",323.3,4668
"15","50_to_54",669,12554
"16","0_to_4",48.1,772
"17","75_to_79",624,6489
"18","5_to_9",48,894
"19","10_to_14",61.1,1054
