age,rate,value
0_to_4,2166.5,1835
5_to_9,1876.9,1987
10_to_14,2987,2814
15_to_19,5802.9,5380
20_to_24,9103,8129
25_to_29,7221.9,7680
30_to_34,6766.3,7209
35_to_39,6619.1,6372
40_to_44,6461.7,5907
45_to_49,7622.3,6377
50_to_54,7182.9,6966
55_to_59,6254.9,6711
60_to_64,5293.9,4971
65_to_69,3708.1,3284
70_to_74,3387.7,2935
75_to_79,4181.4,2488
80_to_84,5543.9,2201
85_to_89,7342.5,1571
90+,11257.9,1091
